2025-06-16 02:05:33 [    INFO] Clearing success message (variables.py:50)
2025-06-16 02:05:33 [   DEBUG] Using browser, firefox Page URL is: http://localhost:39051/faq/ (test_playwright.py:107)
2025-06-16 02:05:33 [   DEBUG] Home link is visible (test_playwright.py:263)
2025-06-16 02:05:33 [   DEBUG] FAQ link is visible (test_playwright.py:265)
2025-06-16 02:05:33 [   DEBUG] About link is visible (test_playwright.py:267)
2025-06-16 02:05:33 [   DEBUG] Find bulbs button is visible (test_playwright.py:269)
2025-06-16 02:05:33 [   DEBUG] Main title is visible (test_playwright.py:271)
2025-06-16 02:05:33 [   DEBUG] Navbar tests passed (test_playwright.py:110)
2025-06-16 02:05:33 [   DEBUG] URL is: http://localhost:39051/faq/ (test_playwright.py:249)
2025-06-16 02:05:33 [   DEBUG] FAQ title is visible (test_playwright.py:251)
2025-06-16 02:05:33 [   DEBUG] Technical Questions title is visible (test_playwright.py:253)
2025-06-16 02:05:33 [   DEBUG] Troubleshooting title is visible (test_playwright.py:255)
2025-06-16 02:05:33 [   DEBUG] FAQ tests passed (test_playwright.py:112)
